"Regulator","Target_Count","Overlap","OddsRatio","PValue","OverlapGenes","FDR"
"SMAD3",31,7,1.53435000373776,0.250473611376115,"JUN;LTBP4;FSTL3;CCND2;ZFP36;SMAD7;POR",0.540308642412847
"MITF",26,6,1.58845548260598,0.258212255503157,"FOS;CDK2;GPNMB;DCT;TYRP1;ACP5",0.540308642412847
"CEBPZ",6,2,2.77777777777778,0.263789348493683,"SOX9;COL11A1",0.540308642412847
"FOXQ1",6,2,2.77777777777778,0.263789348493683,"BCL11A;CDH1",0.540308642412847
"HDGF",6,2,2.77777777777778,0.263789348493683,"CDH1;VIM",0.540308642412847
"IKBKB",6,2,2.77777777777778,0.263789348493683,"TP53;VCAM1",0.540308642412847
"MEF2D",6,2,2.77777777777778,0.263789348493683,"JUN;ATF3",0.540308642412847
"MSX1",6,2,2.77777777777778,0.263789348493683,"NOTCH3;ZHX2",0.540308642412847
"NFKB2",6,2,2.77777777777778,0.263789348493683,"CDK6;CCND2",0.540308642412847
"SOX6",6,2,2.77777777777778,0.263789348493683,"TP53;CCNA2",0.540308642412847
"SRY",6,2,2.77777777777778,0.263789348493683,"SOX9;PROM1",0.540308642412847
"ZBTB7A",6,2,2.77777777777778,0.263789348493683,"PFKP;FOS",0.540308642412847
"ZEB2",6,2,2.77777777777778,0.263789348493683,"CDH1;VIM",0.540308642412847
"FOXA1",21,5,1.66909680032402,0.265519629232612,"BCL2;BRCA1;ESR1;ABCA1;APOB",0.540308642412847
"SIRT1",48,10,1.36766185843677,0.271397373575663,"TBX3;BCL11A;CDH1;TP53;XPC;NQO1;ADAMTS5;LIN28A;HSPA4;HIC1",0.540308642412847
"ATF3",16,4,1.80174545454545,0.271528070961435,"TP53;AK4;DDIT3;ID1",0.540308642412847
"FOXP3",11,3,2.05981933281172,0.273867335770143,"IL10;BRCA1;ERBB2",0.540308642412847
"MEF2A",11,3,2.05981933281172,0.273867335770143,"JUN;TNNI3;COX6A1",0.540308642412847
"HDAC2",27,6,1.51383735093335,0.289059322090467,"IGF1;SNAI2;KLF4;CDH1;ALOX5;DNMT1",0.540308642412847
"GATA3",38,8,1.39617151915244,0.294040403262101,"CDH1;ALDH1A2;IL10;CDH3;TCF7L2;ESR1;RELA;HSD17B1",0.540308642412847
"ETV4",22,5,1.57295608401319,0.300410245139705,"MMP14;ERBB2;CCND2;PTGS2;VIM",0.540308642412847
"REL",22,5,1.57295608401319,0.300410245139705,"IL10;SOD2;IER3;F3;TNFAIP3",0.540308642412847
"SOX2",22,5,1.57295608401319,0.300410245139705,"ASXL1;SEMA6A;MKI67;TUBB3;VIM",0.540308642412847
"ATF7",2,1,4.99518652226233,0.306057183066101,"ERBB2",0.540308642412847
"BACH1",2,1,4.99518652226233,0.306057183066101,"HMOX1",0.540308642412847
"BRIP1",2,1,4.99518652226233,0.306057183066101,"BARD1",0.540308642412847
"CBX7",2,1,4.99518652226233,0.306057183066101,"CDH1",0.540308642412847
"DDX5",2,1,4.99518652226233,0.306057183066101,"IGF2",0.540308642412847
"E2F8",2,1,4.99518652226233,0.306057183066101,"E2F1",0.540308642412847
"ELF2",2,1,4.99518652226233,0.306057183066101,"VCP",0.540308642412847
"ETV1",2,1,4.99518652226233,0.306057183066101,"CAT",0.540308642412847
"FOXC1",2,1,4.99518652226233,0.306057183066101,"FOXO1",0.540308642412847
"FOXF1",2,1,4.99518652226233,0.306057183066101,"CDH1",0.540308642412847
"FOXH1",2,1,4.99518652226233,0.306057183066101,"CTCF",0.540308642412847
"FOXK2",2,1,4.99518652226233,0.306057183066101,"SIN3A",0.540308642412847
"GCM2",2,1,4.99518652226233,0.306057183066101,"CASR",0.540308642412847
"HLX",2,1,4.99518652226233,0.306057183066101,"PAK1",0.540308642412847
"HOXC6",2,1,4.99518652226233,0.306057183066101,"IGFBP3",0.540308642412847
"ID4",2,1,4.99518652226233,0.306057183066101,"BRCA1",0.540308642412847
"LCOR",2,1,4.99518652226233,0.306057183066101,"CDH1",0.540308642412847
"LMO3",2,1,4.99518652226233,0.306057183066101,"HES1",0.540308642412847
"LRRFIP1",2,1,4.99518652226233,0.306057183066101,"EGFR",0.540308642412847
"MAFG",2,1,4.99518652226233,0.306057183066101,"NQO1",0.540308642412847
"MAL",2,1,4.99518652226233,0.306057183066101,"MYL9",0.540308642412847
"MYBL1",2,1,4.99518652226233,0.306057183066101,"DHRS2",0.540308642412847
"NFE2L1",2,1,4.99518652226233,0.306057183066101,"NQO1",0.540308642412847
"NR2C2",2,1,4.99518652226233,0.306057183066101,"LHCGR",0.540308642412847
"NR2E3",2,1,4.99518652226233,0.306057183066101,"ESR1",0.540308642412847
"PAWR",2,1,4.99518652226233,0.306057183066101,"BCL2",0.540308642412847
"PER2",2,1,4.99518652226233,0.306057183066101,"SNAI2",0.540308642412847
"PHB2",2,1,4.99518652226233,0.306057183066101,"BTG2",0.540308642412847
"PLAGL1",2,1,4.99518652226233,0.306057183066101,"SDHB",0.540308642412847
"POU4F2",2,1,4.99518652226233,0.306057183066101,"HSP90AA1",0.540308642412847
"RB1CC1",2,1,4.99518652226233,0.306057183066101,"RB1",0.540308642412847
"SALL3",2,1,4.99518652226233,0.306057183066101,"DNMT3A",0.540308642412847
"SIN3A",2,1,4.99518652226233,0.306057183066101,"E2F1",0.540308642412847
"SIX1",2,1,4.99518652226233,0.306057183066101,"CDH1",0.540308642412847
"SOX11",2,1,4.99518652226233,0.306057183066101,"TUBB3",0.540308642412847
"TFDP3",2,1,4.99518652226233,0.306057183066101,"E2F1",0.540308642412847
"TFEB",2,1,4.99518652226233,0.306057183066101,"TYRP1",0.540308642412847
"THRB",2,1,4.99518652226233,0.306057183066101,"POR",0.540308642412847
"TRIB3",2,1,4.99518652226233,0.306057183066101,"ATF4",0.540308642412847
"TRIM22",2,1,4.99518652226233,0.306057183066101,"RELA",0.540308642412847
"TRRAP",2,1,4.99518652226233,0.306057183066101,"CCND2",0.540308642412847
"WHSC1",2,1,4.99518652226233,0.306057183066101,"ID1",0.540308642412847
"XRCC6",2,1,4.99518652226233,0.306057183066101,"ERBB2",0.540308642412847
"ZNF224",2,1,4.99518652226233,0.306057183066101,"ALDOA",0.540308642412847
"ZNRD1",2,1,4.99518652226233,0.306057183066101,"BCL2",0.540308642412847
"CEBPD",17,4,1.66747474747475,0.312109040412139,"GAPDH;DDIT3;C3;PTGS2",0.54888141589721
"NR5A2",12,3,1.84210526315789,0.323406952519144,"STAR;CYP11A1;HSD3B2",0.566579355749187
"ASCL1",7,2,2.27163066125672,0.330957382741993,"PCSK6;IGF2",0.566826263726025
"HOXA1",7,2,2.27163066125672,0.330957382741993,"BCL2;IER3",0.566826263726025
"ING1",7,2,2.27163066125672,0.330957382741993,"TP53;CASP3",0.566826263726025
"MSX2",7,2,2.27163066125672,0.330957382741993,"BCL2;CDH2",0.566826263726025
"NR2F2",7,2,2.27163066125672,0.330957382741993,"E2F1;HEY2",0.566826263726025
"SALL4",7,2,2.27163066125672,0.330957382741993,"CDH1;PTEN",0.566826263726025
"NANOG",23,5,1.48720895865489,0.335958493438389,"GATA6;CDK6;SEMA6A;KDR;KLF2",0.571129438845262
"SOX9",23,5,1.48720895865489,0.335958493438389,"HES1;KLF4;DCT;AMH;CEACAM1",0.571129438845262
"RUNX1",40,8,1.30897278975614,0.347697967435577,"KLF4;JUN;CSF1;PRKCQ;CCND2;RELA;MAD2L1;MYL9",0.587525683235779
"JUN",149,27,1.12648345602683,0.349186496274293,"EGFR;RARG;LDHA;TP53;JUN;BRCA1;PDK1;DDIT3;CSF1;SOD2;STAR;GSTP1;F3;MYB;RHOB;NQO1;CYP11A1;ATF3;TXN;SMAD7;VCAM1;STMN1;DDX21;PTGS2;MEF2D;NAMPT;OXTR",0.587525683235779
"FOS",57,11,1.23838882038635,0.349443380225202,"SMAD4;TP53;NPPA;DDIT3;FOS;STAR;GSTP1;NQO1;SMAD7;PTGS2;OXTR",0.587525683235779
"FOXA2",18,4,1.55172413793103,0.353183071569589,"CDH1;TCF7L2;APOA1;ABCA1",0.591646094344677
"FOXO1",24,5,1.41025641025641,0.371827282954066,"PDGFB;PDGFA;EGR1;IGFBP1;KLF2",0.618833201604763
"TP73",13,3,1.6658605401048,0.372954559528911,"CDK1;BIRC5;E2F1",0.618833201604763
"RUNX3",30,6,1.3265306122449,0.384908005393486,"HES1;JAG1;WNT4;ING1;HSPD1;CASP3",0.618833201604763
"ESR2",19,4,1.45090909090909,0.394263743637493,"JUN;INSR;FOS;BRCA2",0.618833201604763
"STAT6",36,7,1.27118644067797,0.394741932162965,"DUSP1;FOS;RHOA;HSD3B2;PTGS2;FOSB;CISH",0.618833201604763
"HES1",8,2,1.92122111904983,0.396264893975913,"E2F1;PTEN",0.618833201604763
"NR0B2",8,2,1.92122111904983,0.396264893975913,"E2F1;PTGS2",0.618833201604763
"CREM",25,5,1.34081142755534,0.407701885887816,"DUSP1;FOS;STAR;ACE;CCNA2",0.618833201604763
"HSF1",31,6,1.27388884908409,0.417172259957655,"LDHA;JUN;HOPX;HSD17B6;HSPA4;RELA",0.618833201604763
"CLOCK",14,3,1.52026707323485,0.421755382040492,"STAR;NR3C1;NAMPT",0.618833201604763
"BACH2",3,1,2.9956678700361,0.421993011116102,"BCL2",0.618833201604763
"BRD7",3,1,2.9956678700361,0.421993011116102,"BRD2",0.618833201604763
"CTNNBIP1",3,1,2.9956678700361,0.421993011116102,"MMP14",0.618833201604763
"E2F5",3,1,2.9956678700361,0.421993011116102,"FSHR",0.618833201604763
"ELK4",3,1,2.9956678700361,0.421993011116102,"FOS",0.618833201604763
"ETV3",3,1,2.9956678700361,0.421993011116102,"RELA",0.618833201604763
"FOXP1",3,1,2.9956678700361,0.421993011116102,"HIP1R",0.618833201604763
"GLI3",3,1,2.9956678700361,0.421993011116102,"SMO",0.618833201604763
"HCFC1",3,1,2.9956678700361,0.421993011116102,"E2F1",0.618833201604763
"HEY2",3,1,2.9956678700361,0.421993011116102,"GATA6",0.618833201604763
"HMGN1",3,1,2.9956678700361,0.421993011116102,"FOS",0.618833201604763
"HOPX",3,1,2.9956678700361,0.421993011116102,"FOS",0.618833201604763
"ING2",3,1,2.9956678700361,0.421993011116102,"BCL2",0.618833201604763
"JARID2",3,1,2.9956678700361,0.421993011116102,"NPPA",0.618833201604763
"KCNIP3",3,1,2.9956678700361,0.421993011116102,"TG",0.618833201604763
"KHDRBS1",3,1,2.9956678700361,0.421993011116102,"IGF2",0.618833201604763
"MAML1",3,1,2.9956678700361,0.421993011116102,"EGR1",0.618833201604763
"MXD1",3,1,2.9956678700361,0.421993011116102,"PTEN",0.618833201604763
"MYOD1",3,1,2.9956678700361,0.421993011116102,"HBEGF",0.618833201604763
"NHLH2",3,1,2.9956678700361,0.421993011116102,"HES1",0.618833201604763
"NOTCH3",3,1,2.9956678700361,0.421993011116102,"HES1",0.618833201604763
"NR1H2",3,1,2.9956678700361,0.421993011116102,"ABCA1",0.618833201604763
"PER1",3,1,2.9956678700361,0.421993011116102,"BCL2",0.618833201604763
"RARB",3,1,2.9956678700361,0.421993011116102,"ADH5",0.618833201604763
"SETBP1",3,1,2.9956678700361,0.421993011116102,"PTGS2",0.618833201604763
"SNW1",3,1,2.9956678700361,0.421993011116102,"HES1",0.618833201604763
"XRCC5",3,1,2.9956678700361,0.421993011116102,"ERBB2",0.618833201604763
"ZNF202",3,1,2.9956678700361,0.421993011116102,"ABCA1",0.618833201604763
"ZNF76",3,1,2.9956678700361,0.421993011116102,"PCYT1A",0.618833201604763
"SP3",113,20,1.09680965129374,0.424796646828922,"BIRC5;FBP1;ERBB2;HMGA2;HBEGF;IGFBP1;ACE;IGFBP3;F2R;RORA;SOCS3;ABCA1;CDH2;FBLN1;DNMT3A;KDR;SLC1A3;RELA;SLC19A3;LPL",0.62096070348559
"KLF6",20,4,1.36231404958678,0.43491977976535,"CDH1;ATF3;ASAH1;PTTG1",0.63173474339334
"NR1H4",20,4,1.36231404958678,0.43491977976535,"SCARB1;RELA;HSD3B2;ABCC4",0.63173474339334
"NR1I2",26,5,1.27782644324508,0.443294655027021,"BCL2;IL10;THBS1;RAB3A;RELA",0.641868285985497
"EGR2",9,2,1.66425412143144,0.458462523722502,"PTGS2;IGF2",0.647490148888088
"ELF1",9,2,1.66425412143144,0.458462523722502,"ERBB2;BRCA2",0.647490148888088
"ESRRA",9,2,1.66425412143144,0.458462523722502,"SNAI2;DAP3",0.647490148888088
"GATA6",9,2,1.66425412143144,0.458462523722502,"APOA1;CYP11A1",0.647490148888088
"HIPK2",9,2,1.66425412143144,0.458462523722502,"TP53;VIM",0.647490148888088
"SMAD7",9,2,1.66425412143144,0.458462523722502,"CDK1;HMOX1",0.647490148888088
"SMARCA4",9,2,1.66425412143144,0.458462523722502,"CDH1;FOS",0.647490148888088
"TFCP2",9,2,1.66425412143144,0.458462523722502,"WT1;GSK3B",0.647490148888088
"IRF3",15,3,1.39796856106409,0.469200626148974,"SOCS2;TLR3;ABCC2",0.657559897835613
"TP63",15,3,1.39796856106409,0.469200626148974,"KLF4;BRCA1;XPC",0.657559897835613
"PAX5",21,4,1.28384415584416,0.474778638714229,"BCL2;TP53;PRDM1;RB1",0.657559897835613
"ERG",27,5,1.22044012420683,0.478348139785328,"SOX4;PIM1;HMOX1;HPGD;VIM",0.657559897835613
"JUND",34,6,1.13812851251149,0.511992804908051,"SOX4;ERBB2;F3;MYB;NQO1;PTGS2",0.657559897835613
"ATM",22,4,1.21385749385749,0.513527170619679,"BCL2;DUSP1;FOXM1;SLC2A1",0.657559897835613
"EPAS1",10,2,1.46774994678209,0.51676810484973,"MMP14;PTPRZ1",0.657559897835613
"LMO2",10,2,1.46774994678209,0.51676810484973,"CDH1;NFATC1",0.657559897835613
"MBD2",10,2,1.46774994678209,0.51676810484973,"GSTP1;ALOX5",0.657559897835613
"NFIL3",10,2,1.46774994678209,0.51676810484973,"HPGD;PTGS2",0.657559897835613
"NKX3-1",10,2,1.46774994678209,0.51676810484973,"FOS;ESR1",0.657559897835613
"TAL1",10,2,1.46774994678209,0.51676810484973,"ALDH1A2;MYB",0.657559897835613
"DLX5",4,1,2.13873130479629,0.518598437944427,"IGFBP3",0.657559897835613
"DMAP1",4,1,2.13873130479629,0.518598437944427,"DNMT1",0.657559897835613
"DR1",4,1,2.13873130479629,0.518598437944427,"PTGS2",0.657559897835613
"EHMT2",4,1,2.13873130479629,0.518598437944427,"BIRC5",0.657559897835613
"ELL",4,1,2.13873130479629,0.518598437944427,"E2F1",0.657559897835613
"FUS",4,1,2.13873130479629,0.518598437944427,"DDIT3",0.657559897835613
"GCM1",4,1,2.13873130479629,0.518598437944427,"MFSD2A",0.657559897835613
"HAND2",4,1,2.13873130479629,0.518598437944427,"NPPA",0.657559897835613
"KLF15",4,1,2.13873130479629,0.518598437944427,"LRP5",0.657559897835613
"LYL1",4,1,2.13873130479629,0.518598437944427,"STMN1",0.657559897835613
"MEIS1",4,1,2.13873130479629,0.518598437944427,"ITGA9",0.657559897835613
"MKL1",4,1,2.13873130479629,0.518598437944427,"SRF",0.657559897835613
"NCOA6",4,1,2.13873130479629,0.518598437944427,"FOS",0.657559897835613
"NRL",4,1,2.13873130479629,0.518598437944427,"NR2E3",0.657559897835613
"PA2G4",4,1,2.13873130479629,0.518598437944427,"E2F1",0.657559897835613
"PLAG1",4,1,2.13873130479629,0.518598437944427,"IGF2",0.657559897835613
"PLAGL2",4,1,2.13873130479629,0.518598437944427,"IGF2",0.657559897835613
"PURA",4,1,2.13873130479629,0.518598437944427,"ERBB2",0.657559897835613
"RBL2",4,1,2.13873130479629,0.518598437944427,"BRCA1",0.657559897835613
"RBPJ",4,1,2.13873130479629,0.518598437944427,"PTEN",0.657559897835613
"TLX1",4,1,2.13873130479629,0.518598437944427,"NR4A3",0.657559897835613
"TRIM28",4,1,2.13873130479629,0.518598437944427,"ID1",0.657559897835613
"ZBTB2",4,1,2.13873130479629,0.518598437944427,"TP53",0.657559897835613
"ZFHX3",4,1,2.13873130479629,0.518598437944427,"MYB",0.657559897835613
"ZHX2",4,1,2.13873130479629,0.518598437944427,"CCNA2",0.657559897835613
"STAT1",84,14,1.02530285009471,0.549664342392767,"EGFR;IL10;NR1H4;TP53;SCARB1;PIM1;UPP1;HMOX1;STAT3;GLS;SOCS3;HSP90AA1;PTGS2;TLR3",0.695030118893334
"BCL6",17,3,1.20397781762081,0.558254868777002,"CHEK1;STAT3;CCND2",0.703087854456897
"YY1",91,15,1.00953939068363,0.56707827337673,"EGFR;TP53;BRCA1;ERBB2;FDPS;STAR;LSS;NR3C1;FCGR2B;CTCF;SMAD7;COX7C;HSD3B2;COX6A1;HSPA5",0.703087854456897
"IRF8",11,2,1.31261507205892,0.570746053534083,"IL10;TLR3",0.703087854456897
"MEN1",11,2,1.31261507205892,0.570746053534083,"BRCA1;CDKN2C",0.703087854456897
"MSC",11,2,1.31261507205892,0.570746053534083,"IL10;CDC6",0.703087854456897
"PITX2",11,2,1.31261507205892,0.570746053534083,"WNT5A;PLOD1",0.703087854456897
"STAT2",11,2,1.31261507205892,0.570746053534083,"SCARB1;PTGS2",0.703087854456897
"STAT4",11,2,1.31261507205892,0.570746053534083,"PIM1;SOCS3",0.703087854456897
"FLI1",24,4,1.09436807095344,0.586726603440706,"IL10;IGFBP3;HMOX1;FOXM1",0.703087854456897
"AATF",5,1,1.66265543521861,0.599090017452111,"TP53",0.703087854456897
"CHD8",5,1,1.66265543521861,0.599090017452111,"BRCA1",0.703087854456897
"CRX",5,1,1.66265543521861,0.599090017452111,"NR2E3",0.703087854456897
"DEK",5,1,1.66265543521861,0.599090017452111,"BCL2",0.703087854456897
"ELF4",5,1,1.66265543521861,0.599090017452111,"TP53",0.703087854456897
"FHL2",5,1,1.66265543521861,0.599090017452111,"RELA",0.703087854456897
"GTF3A",5,1,1.66265543521861,0.599090017452111,"RAD51B",0.703087854456897
"HDAC11",5,1,1.66265543521861,0.599090017452111,"IL10",0.703087854456897
"HMGA2",5,1,1.66265543521861,0.599090017452111,"CDH1",0.703087854456897
"KDM4B",5,1,1.66265543521861,0.599090017452111,"ESR1",0.703087854456897
"MAX",5,1,1.66265543521861,0.599090017452111,"BRD7",0.703087854456897
"MED1",5,1,1.66265543521861,0.599090017452111,"UBE2C",0.703087854456897
"NCOR2",5,1,1.66265543521861,0.599090017452111,"IGF1",0.703087854456897
"NR1H3",5,1,1.66265543521861,0.599090017452111,"ABCA1",0.703087854456897
"NUPR1",5,1,1.66265543521861,0.599090017452111,"TP53",0.703087854456897
"PBX1",5,1,1.66265543521861,0.599090017452111,"VCP",0.703087854456897
"RORA",5,1,1.66265543521861,0.599090017452111,"E2F1",0.703087854456897
"TEAD1",5,1,1.66265543521861,0.599090017452111,"SRF",0.703087854456897
"GLI2",18,3,1.12575574365175,0.599269228218485,"BCL2;CDH1;JUN",0.703087854456897
"MYB",37,6,1.028227287667,0.600458472651642,"BCL2;ERBB2;WT1;MYB;NR3C1;DHRS2",0.703087854456897
"IRF7",12,2,1.18702969728301,0.620213873737071,"NR1H4;ATF4",0.719594409811457
"OTX2",12,2,1.18702969728301,0.620213873737071,"IGF1;DCT",0.719594409811457
"CREBBP",25,4,1.04295983086681,0.620826549641257,"EGFR;TP53;BRCA1;PTGS2",0.719594409811457
"SRF",25,4,1.04295983086681,0.620826549641257,"MMP14;FOS;UBE2S;MYL9",0.719594409811457
"RUNX2",19,3,1.05701513319409,0.637707756577421,"LRP5;SNAI2;ESR1",0.737299396143668
"HNF4A",45,7,0.969744541173113,0.644378122654984,"TCF7L2;APOA1;PCSK9;ACAT2;CEACAM1;MTTP;APOB",0.74313959371517
"HNF1A",26,4,0.996121212121212,0.653105075934755,"IGFBP1;ACAT2;MTTP;LCT",0.751260244277402
"STAT5A",13,2,1.08328525725075,0.665170112684009,"ESR1;CCND2",0.751260244277402
"FOXO4",6,1,1.35969806366918,0.666150151243797,"SOD2",0.751260244277402
"LMX1B",6,1,1.35969806366918,0.666150151243797,"COL4A4",0.751260244277402
"MAF",6,1,1.35969806366918,0.666150151243797,"CCND2",0.751260244277402
"PBX2",6,1,1.35969806366918,0.666150151243797,"VCP",0.751260244277402
"PRDM1",6,1,1.35969806366918,0.666150151243797,"MKI67",0.751260244277402
"SOX17",6,1,1.35969806366918,0.666150151243797,"FN1",0.751260244277402
"WWTR1",6,1,1.35969806366918,0.666150151243797,"IGFBP1",0.751260244277402
"VHL",20,3,0.996130592503023,0.673493870132492,"CDKN1C;TP53;KLF10",0.757680603899054
"CEBPB",60,9,0.916897968908214,0.692610023381796,"MAD1L1;IL10;PRDM1;INSR;DDIT3;STAR;PTPN13;PTGS2;OXTR",0.77728117538446
"NF1",14,2,0.996139927623643,0.705739234457928,"TP53;FOS",0.788161334832577
"TCF3",14,2,0.996139927623643,0.705739234457928,"CDH1;CDK6",0.788161334832577
"APEX1",7,1,1.14995834490419,0.722015612660764,"RELA",0.792835325864332
"ILF3",7,1,1.14995834490419,0.722015612660764,"BIRC5",0.792835325864332
"MTF1",7,1,1.14995834490419,0.722015612660764,"ACO1",0.792835325864332
"MZF1",7,1,1.14995834490419,0.722015612660764,"CDH2",0.792835325864332
"NFATC1",7,1,1.14995834490419,0.722015612660764,"EGR3",0.792835325864332
"NFATC2",7,1,1.14995834490419,0.722015612660764,"EGR3",0.792835325864332
"NR3C2",7,1,1.14995834490419,0.722015612660764,"EGFR",0.792835325864332
"VDR",42,6,0.885205145746083,0.726310057711556,"EGFR;CDH1;IL10;ERBB2;IGFBP3;AMH",0.795647533388077
"AHR",22,3,0.893095215948904,0.737100323487163,"BRCA1;FOS;MFSD2A",0.805545353525256
"FOSL2",15,2,0.921905017200554,0.742129789582383,"BRCA1;MYB",0.807198041275625
"SATB1",15,2,0.921905017200554,0.742129789582383,"BCL2;MKI67",0.807198041275625
"CDX1",8,1,0.996149217809868,0.768551429615743,"PTGS2",0.824217537835574
"CUX1",8,1,0.996149217809868,0.768551429615743,"WNT5A",0.824217537835574
"FOXF2",8,1,0.996149217809868,0.768551429615743,"PDGFA",0.824217537835574
"IRF9",8,1,0.996149217809868,0.768551429615743,"CCND2",0.824217537835574
"MAZ",8,1,0.996149217809868,0.768551429615743,"MMP14",0.824217537835574
"MYBL2",8,1,0.996149217809868,0.768551429615743,"MYBL2",0.824217537835574
"PITX1",16,2,0.857909404766857,0.774602992429324,"HES1;JUN",0.828771033857948
"NR3C1",38,5,0.815309842041312,0.785519152482574,"SRF;TP53;BRCA1;CDK6;NR3C1",0.836550559140375
"POU2F1",38,5,0.815309842041312,0.785519152482574,"SNAI2;ID1;LCT;VCAM1;MAD2L1",0.836550559140375
"POU5F1",24,3,0.809229211776947,0.790500616087096,"GATA6;DLX5;SEMA6A",0.839906904592539
"ELF3",9,1,0.878530473561266,0.807312542852398,"PTGS2",0.846019308605595
"EWSR1",9,1,0.878530473561266,0.807312542852398,"EGR2",0.846019308605595
"NKX2-5",9,1,0.878530473561266,0.807312542852398,"DACT1",0.846019308605595
"POU3F2",9,1,0.878530473561266,0.807312542852398,"FOXP2",0.846019308605595
"PPARGC1A",9,1,0.878530473561266,0.807312542852398,"MLYCD",0.846019308605595
"ZNF148",9,1,0.878530473561266,0.807312542852398,"VIM",0.846019308605595
"DDIT3",18,2,0.753189311693534,0.828971931503527,"SIRT1;CDK2",0.866738306515078
"SPDEF",10,1,0.785673570207106,0.839595258186027,"CDH1",0.875850507971333
"GATA1",57,7,0.734958111195735,0.862884707176749,"SMAD1;CDC6;WT1;LTBP4;TAL1;DICER1;DACH1",0.89374022921553
"KLF2",11,1,0.710503696063263,0.866480178651222,"FABP5",0.89374022921553
"NPM1",11,1,0.710503696063263,0.866480178651222,"DNMT1",0.89374022921553
"PROX1",11,1,0.710503696063263,0.866480178651222,"CDKN1C",0.89374022921553
"SOX10",11,1,0.710503696063263,0.866480178651222,"EDNRB",0.89374022921553
"RXRA",20,2,0.671111400906335,0.871249124587382,"ABCA1;NOL7",0.896644278443068
"LEF1",29,3,0.654947411649289,0.885660326076495,"SNAI2;BIRC5;ESR1",0.908664639798667
"CREB5",12,1,0.648406843509653,0.888868024552508,"DGKG",0.908664639798667
"TBX21",12,1,0.648406843509653,0.888868024552508,"IL10",0.908664639798667
"ETS2",32,3,0.5874818109155,0.922191652001787,"CDK1;TP53;EGR1",0.938549818777872
"REST",32,3,0.5874818109155,0.922191652001787,"NRP1;LIN28A;TUBB3",0.938549818777872
"MYCN",45,4,0.535071193866375,0.957166024575709,"BIRC5;TP53;MYBL2;EFNB3",0.971989392212944
"SPI1",62,6,0.56625311243573,0.960911684089268,"SCARB1;CSF1;IL18;STAT3;MAPK1;ACP5",0.973638991163298
"GATA2",19,1,0.401697726607474,0.96931667004959,"WT1",0.977838135280795
"NFKBIA",19,1,0.401697726607474,0.96931667004959,"RELA",0.977838135280795
"ETS1",79,7,0.506378678792472,0.985763848713195,"TP53;WT1;EGR1;IGFBP1;HMOX1;MYB;HPGD",0.992249137191571
"RARA",26,1,0.290436752318256,0.991562254001279,"SCD",0.995153744109854
"NFIC",27,1,0.279340644370275,0.992985653164081,"JUN",0.995153744109854
"CIITA",31,1,0.242232348937681,0.9966528703751,"SIRT1",0.9966528703751
