"GeneID","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"205","AK4",-1.30558213442486,6.70305056629424,-8.79730805989812,1.05577922569194e-06,0.0155716877997304,5.38354879761719,"Downregulated"
"222171","PRR15",1.63345448371049,1.2054628335833,7.74562006855613,4.1090447694501e-06,0.0303021506523097,4.30426062633424,"Upregulated"
"122481","AK7",-1.54757144194675,2.5536300250554,-6.94064890613845,1.26986021892168e-05,0.044816728828726,3.36824064781435,"Downregulated"
"791115","PWRN2",1.66327165141511,2.21540404578406,6.79925012811197,1.56144774228333e-05,0.044816728828726,3.19324158275471,"Upregulated"
"338811","FAM19A2",1.86344151499851,3.12939000329519,6.72869091528243,1.73281264072676e-05,0.044816728828726,3.10469597856246,"Upregulated"
"9547","CXCL14",-1.9073458392023,1.77365065116946,-6.63830310917459,1.98200239559783e-05,0.044816728828726,2.99007155398355,"Downregulated"
"316","AOX1",-1.26016943910424,5.90259833284299,-6.59108515983975,2.12703981151998e-05,0.044816728828726,2.92965581623085,"Downregulated"
"6659","SOX4",2.37063917961683,5.32188828447456,6.36983020764285,2.97328288531489e-05,0.0512990860955319,2.64161209369229,"Not Significant"
"55220","KLHDC8A",2.1155653457426,3.17794710496779,6.2912798083509,3.35408119358705e-05,0.0512990860955319,2.53737580417344,"Not Significant"
"57502","NLGN4X",1.02949110494753,1.79959547451129,6.26771367713643,3.47813994816814e-05,0.0512990860955319,2.50590068098104,"Not Significant"
"57144","PAK7",-1.23573907807494,3.83773804576125,-6.18456129356222,3.95610989641615e-05,0.0530442407838561,2.39409145253275,"Not Significant"
"387758","FIBIN",1.4894891650478,1.28351356033858,6.07821882415475,4.67078214737501e-05,0.0537599053589866,2.24939195801327,"Not Significant"
"9455","HOMER2",1.84395389332155,3.97344767311139,6.0661888056267,4.75982731903963e-05,0.0537599053589866,2.23290181767482,"Not Significant"
"791114","PWRN1",2.10667416856654,3.34686821405278,5.992421065138,5.34655576462527e-05,0.0537599053589866,2.13124617421217,"Not Significant"
"4629","MYH11",3.41444311293589,3.56765014927688,5.92588511576347,5.94141980321285e-05,0.0537599053589866,2.03876117081838,"Not Significant"
"4336","MOBP",1.38481936467408,0.940948473846964,5.90524460344001,6.13984852242408e-05,0.0537599053589866,2.0099174681889,"Not Significant"
"112479","ERI2",1.543500962699,4.14675584296344,5.89948306295928,6.1964769889672e-05,0.0537599053589866,2.00185313938627,"Not Significant"
"730","C7",1.44560551473096,7.76016483799242,5.81328735929541,7.11272303315952e-05,0.0541811132289871,1.88053053376059,"Not Significant"
"2492","FSHR",1.8259653478111,2.40478898114951,5.80539737619537,7.2034512975532e-05,0.0541811132289871,1.86936187654553,"Not Significant"
"79047","KCTD15",1.74527158883793,3.02968605170713,5.79311793442168,7.34708973204788e-05,0.0541811132289871,1.85195860563229,"Not Significant"
"6296","ACSM3",1.71974200156126,5.59244532939577,5.72278048009773,8.23016826572737e-05,0.0571357358491499,1.75177610318476,"Not Significant"
"1612","DAPK1",2.02939928150254,6.30820613028253,5.67875545230334,8.83924723867844e-05,0.0571357358491499,1.68864171019855,"Not Significant"
"255130","LOC255130",0.945746492909477,1.4165882571198,5.62683795025069,9.61904989976152e-05,0.0571357358491499,1.61376508393636,"Not Significant"
"57658","CALCOCO1",0.788779525071522,6.01606714753038,5.60435597220567,9.97890165634526e-05,0.0571357358491499,1.58119882873237,"Not Significant"
"150094","SIK1",1.0511538368293,5.70537012796683,5.57580037657886,0.00010456511474956,0.0571357358491499,1.53971084986143,"Not Significant"
"3399","ID3",2.23002596154477,3.33498594379932,5.5609095037853,0.000107150567593551,0.0571357358491499,1.51802122621864,"Not Significant"
"80818","ZNF436",0.913593183838472,4.61062518106969,5.54209539439169,0.000110513719377903,0.0571357358491499,1.49056335293341,"Not Significant"
"5803","PTPRZ1",1.01287014187027,1.42618368873928,5.52497914316289,0.000113669881439726,0.0571357358491499,1.46553127089744,"Not Significant"
"84913","ATOH8",1.64732263391376,1.42538512243922,5.52005226484484,0.000114595843598343,0.0571357358491499,1.45831663940948,"Not Significant"
"128239","IQGAP3",1.1439355684815,1.76383703933215,5.51153076924271,0.000116216155364736,0.0571357358491499,1.44582856089898,"Not Significant"
"7474","WNT5A",1.36182975250673,6.27896517925731,5.48428197604905,0.000121561007611368,0.0573202436933407,1.4058135604631,"Not Significant"
"27147","DENND2A",1.64051247437035,1.16474915354024,5.47049008775688,0.000124364214400088,0.0573202436933407,1.38551225956309,"Not Significant"
"4129","MAOB",1.6323364461992,2.0436421183875,5.45057302120219,0.000128532873973449,0.0574464047949818,1.3561381768899,"Not Significant"
"122953","JDP2",1.56294497117882,4.65480480003665,5.41515673489124,0.000136312362679898,0.058065140012476,1.30374032697817,"Not Significant"
"4093","SMAD9",1.61310895036635,2.59043940629742,5.40755697298983,0.000138045282461962,0.058065140012476,1.29246907265247,"Not Significant"
"375567","VWC2",1.99530456041368,1.36078118806029,5.39173418360415,0.000141727916499365,0.058065140012476,1.26897103307987,"Not Significant"
"9256","BZRAP1",0.79398514094832,1.91599513544171,5.30583595548562,0.000163603180464252,0.0632726509824176,1.1406729582182,"Not Significant"
"4753","NELL2",1.23367679883138,6.08004461345133,5.29635905700137,0.000166225048167422,0.0632726509824176,1.12644263985893,"Not Significant"
"784","CACNB3",1.227014274704,1.92286842426162,5.25808001912923,0.000177272418530944,0.0632726509824176,1.06881137211251,"Not Significant"
"5230","PGK1",-0.78802057752506,8.90987898983872,-5.2551332300289,0.000178154200369765,0.0632726509824176,1.06436471260233,"Not Significant"
"7102","TSPAN7",1.3539287876076,2.62637090177369,5.24992254204746,0.000179724698153552,0.0632726509824176,1.05649833557759,"Not Significant"
"94122","SYTL5",1.25292701622321,3.05371469582244,5.24417773605709,0.000181473021542284,0.0632726509824176,1.04782039835321,"Not Significant"
"162962","ZNF836",0.839305144230003,2.81785941191235,5.23446895338779,0.00018446837021113,0.0632726509824176,1.03314215167116,"Not Significant"
"84525","HOPX",1.45400411985966,1.76370757988913,5.19855409399618,0.000196007188369225,0.0652836369402303,0.978708556673125,"Not Significant"
"92196","DAPL1",1.7892028150497,1.16955448019329,5.16609428302861,0.00020708745763563,0.0652836369402303,0.92932835597031,"Not Significant"
"9037","SEMA5A",1.02944602541543,2.70858113783447,5.11961335443971,0.00022410999398893,0.0652836369402303,0.858316760717634,"Not Significant"
"144165","PRICKLE1",1.15476841694341,2.15687954674513,5.11115743405138,0.000227361215092082,0.0652836369402303,0.845360137577992,"Not Significant"
"3939","LDHA",-0.847745023631892,10.1137082235832,-5.10909305256945,0.000228162427292816,0.0652836369402303,0.842195206207577,"Not Significant"
"729171","ANKRD20A8P",1.06300199845639,1.17063330016624,5.10869873933539,0.000228315801214056,0.0652836369402303,0.841590600095951,"Not Significant"
"90273","CEACAM21",1.63841968854211,1.91982981403223,5.10057367854988,0.000231500312984886,0.0652836369402303,0.829126681995946,"Not Significant"
"255743","NPNT",1.8068277816522,2.3932337524414,5.09953950487989,0.000231908968201419,0.0652836369402303,0.827539477736925,"Not Significant"
"51085","MLXIPL",-1.6642364908652,2.38450022193027,-5.08213439306469,0.000238901125474321,0.0652836369402303,0.800800742391569,"Not Significant"
"1002","CDH4",0.891691693702275,1.05062455883365,5.08129122747292,0.000239245405772308,0.0652836369402303,0.799504171010959,"Not Significant"
"94121","SYTL4",0.82031122924165,4.8719398438522,5.07744949432613,0.000240820644898188,0.0652836369402303,0.793595112737838,"Not Significant"
"10682","EBP",-0.973775225017874,6.36594597653979,-5.06659741875811,0.000245329287738362,0.0652836369402303,0.776890335228494,"Not Significant"
"161436","EML5",1.3932835500696,4.83818546390673,5.05598007821062,0.000249825978493449,0.0652836369402303,0.760528399969375,"Not Significant"
"10351","ABCA8",1.2366211343814,6.66983507979426,5.04239823000433,0.000255704299954717,0.0652836369402303,0.739571375059793,"Not Significant"
"664","BNIP3",-0.9025634177041,7.45951215734683,-5.03573945247984,0.000258638971702228,0.0652836369402303,0.729285871435443,"Not Significant"
"10626","TRIM16",-1.5219530904175,5.25327958781295,-5.02881072850343,0.000261730055013959,0.0652836369402303,0.718575794135123,"Not Significant"
"55084","SOBP",0.923078223057941,3.99334713632126,5.0041020125127,0.000273071635396022,0.0652836369402303,0.680319311411576,"Not Significant"
"54677","CROT",-0.807818258688905,4.42710365763379,-5.00017924509551,0.000274918994925329,0.0652836369402303,0.674236663336992,"Not Significant"
"5212","VIT",1.90925853252099,1.09038788073175,4.99730963653987,0.000276278663088869,0.0652836369402303,0.669785480209129,"Not Significant"
"4693","NDP",1.80402101866406,2.88788686243401,4.9919073148122,0.000278857490489831,0.0652836369402303,0.661402103592567,"Not Significant"
"81491","GPR63",0.949478957716393,1.8173968202384,4.95388121754485,0.000297736697739603,0.067919231021956,0.602260718866461,"Not Significant"
"51435","SCARA3",0.975780139567923,1.49458707057078,4.95079709333614,0.000299325379105508,0.067919231021956,0.597453914502202,"Not Significant"
"9415","FADS2",-1.27572087032327,7.1817462326185,-4.91024385522178,0.000321059084959823,0.0712127956478486,0.534108632154673,"Not Significant"
"4843","NOS2",1.87645953717887,2.05226988838698,4.90587489501041,0.000323497003756584,0.0712127956478486,0.527268663415696,"Not Significant"
"8642","DCHS1",1.50111514876636,4.52058041947511,4.8889611328358,0.000333118893227159,0.0722525081795201,0.50076039728229,"Not Significant"
"10079","ATP9A",1.40448124119046,4.12940793755165,4.87988708076375,0.000338403687158989,0.0723350142305496,0.486520448578454,"Not Significant"
"401237","FLJ22536",1.45312430334791,1.09134332001121,4.82419318346525,0.000372816989750716,0.077201983349262,0.398837674026259,"Not Significant"
"23742","C15orf2",1.55253027591643,3.23899565649501,4.82093492852185,0.000374940106675745,0.077201983349262,0.393693029043973,"Not Significant"
"734","OSGIN2",0.912561151925008,5.14584932552188,4.81736615465177,0.000377280045741334,0.077201983349262,0.388056200853955,"Not Significant"
"93010","B3GNT7",1.17258039847622,3.21424609299025,4.8096911321796,0.000382364102118168,0.077201983349262,0.375926934084454,"Not Significant"
"1285","COL4A3",1.62983824399324,2.95759548190709,4.8022748732318,0.000387344685595321,0.077201983349262,0.364197959245385,"Not Significant"
"3417","IDH1",-1.24494887963228,7.19198062148444,-4.78870213242772,0.000396635879775517,0.0774140980908059,0.342710415812147,"Not Significant"
"130271","PLEKHH2",1.4419061497672,5.91314809470673,4.78217723090317,0.00040118494649218,0.0774140980908059,0.332370500138447,"Not Significant"
"57449","PLEKHG5",0.981745644312845,1.5307482448101,4.77795834156272,0.000404155234456035,0.0774140980908059,0.325681408896978,"Not Significant"
"374286","CDRT1",-1.27271769785674,1.97419361038902,-4.74800709851208,0.000425912675408261,0.0778980871617322,0.278115121289001,"Not Significant"
"10332","CLEC4M",0.946679374878585,2.14949684849426,4.74333330982187,0.000429416479891749,0.0778980871617322,0.270680226189428,"Not Significant"
"9076","CLDN1",-1.66500659701326,4.83892688207689,-4.73750901423446,0.000433824883646085,0.0778980871617322,0.261410500253886,"Not Significant"
"57482","KIAA1211",1.43497919945093,2.54235858677039,4.73581828479568,0.00043511341044145,0.0778980871617322,0.258718635613978,"Not Significant"
"80339","PNPLA3",-1.18992989016773,2.9464922329446,-4.73555381732185,0.000435315325039866,0.0778980871617322,0.258297529235224,"Not Significant"
