Term,pathway,ES,NES,pval,FDR,size,LeadingEdgeGenes,Direction,Abs_NES
Purine Containing Compound Biosynthetic Process,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,-0.542852886992702,-2.3475505154948,2.26426658110544e-14,9.91465729201545e-12,188,AK4;PGK1;ELOVL6;QPRT;AK2;PDK1;ENO1;ACLY;HSD17B12;NME1;PAICS;DLAT;NDUFB9;MAP2K1;TPK1;TECR;APRT;PAPSS2;NDUFS3;FASN;ACSS2;PPT1;ACSL1;LIPA;ACSL3;ALDOA;NDUFA9;DGUOK;GMPS;NDUFB3;PDK3;IMPDH2;ACOT7;PCCA;PNP;NUDT2;NDUFS8;MTHFD1;NDUFAB1;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;AMPD3;NDUFA8;NDUFA6;NME4;SDHD;ACACA;NDUFC2;NDUFV2;NDUFB2;STOML2;PGM2;DLD;MCEE;NDUFA1;PRKAG2;SLC25A13;ATIC;MLYCD;HPRT1;NDUFB10;NDUFB8;STAT3;NME3;NME7;PDHB;NDUFA7;NAMPT;NDUFC1;PAPSS1;GCDH;MTHFD2L;SDHC;NME2;NDUFA13;CBR4,Negative,2.3475505154948
Nucleoside Diphosphate Catabolic Process,GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,-0.598946682406828,-2.3275221614974,1.04111002921657e-9,1.65773110561165e-7,88,PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;HK2;PGAM1;PGAM4;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;HKDC1;PFKFB3;ENTPD7;FBP1;DHTKD1;PSEN1;MTCH2,Negative,2.3275221614974
Nucleoside Triphosphate Metabolic Process,GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,-0.525669121025828,-2.32100489087833,2.81307479754731e-14,1.0949112239786899e-11,211,AK4;PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;UCP2;SMPDL3A;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;NME1;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;NDUFB9;HK2;MAP2K1;PGAM1;PGAM4;NDUFS3;MFSD8;RAN;SLC4A4;LIPA;ALDOA;NDUFA9;PRKAA1;DGUOK;NDUFB3;IMPDH2;HKDC1;NUDT16;PFKFB3;NUDT2;NDUFS8;ENTPD7;NDUFAB1;NDUFA12;NDUFS5;FIS1;NDUFA8;NDUFA6;FBP1;ITPA;NME4;SDHD;DHTKD1;NDUFC2;NDUFV2;NDUFB2;GNAI3;PSEN1;STOML2;MTCH2;NDUFA1;PRKAG2;SLC25A13;TBPL1;DTYMK;NDUFB10;NDUFB8;FIGNL1;MTTP;STAT3;NME3;NME7;PGM1;NDUFA7;ATP6V1B2;CLPX;NDUFC1;DCTPP1;ARL2;SDHC;ADPGK;PPP2CA;NME2;NDUFA13;PRKAG1;VCP;OLA1;NDUFS4;DNM1L;CMPK2,Negative,2.32100489087833
Isoprenoid Biosynthetic Process,GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS,-0.753010190114194,-2.31401119809841,3.53597419602648e-6,1.5105509278879e-4,25,FDPS;ACAT2;MVK;LSS;PDSS1;MVD;ALDH8A1;HMGCS1;IDI1;PDSS2;DHRS9;HMGCR;ALDH1A3;DPM3;PMVK;GGPS1,Negative,2.31401119809841
Atp Metabolic Process,GOBP_ATP_METABOLIC_PROCESS,-0.542508572722699,-2.31307488797898,5.10795374345634e-13,1.37639707410212e-10,169,AK4;PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;GPI;NUDT5;PFKP;PFKFB4;NDUFB9;HK2;MAP2K1;PGAM1;PGAM4;NDUFS3;MFSD8;SLC4A4;LIPA;ALDOA;NDUFA9;PRKAA1;NDUFB3;HKDC1;PFKFB3;NUDT2;NDUFS8;NDUFAB1;NDUFA12;NDUFS5;FIS1;NDUFA8;NDUFA6;FBP1;SDHD;DHTKD1;NDUFC2;NDUFV2;NDUFB2;PSEN1;STOML2;MTCH2;NDUFA1;PRKAG2;SLC25A13,Negative,2.31307488797898
Electron Transport Chain,GOBP_ELECTRON_TRANSPORT_CHAIN,-0.583833298076183,-2.29136114084974,1.15555882846787e-9,1.69901990020062e-7,98,SOD2;NDUFB9;PARK7;NDUFS3;UQCR11;NDUFAF1;NDUFA9;DGUOK;DHRS2;NDUFB3;UQCRC2;ETFB;NDUFS8;PDIA5;NDUFAB1;NDUFA12;NDUFS5;CYC1;GHITM;NDUFA8;ETFA;NDUFA6;SDHD;COX6C;NDUFC2;NDUFV2;NDUFB2;UQCRH;MTCH2;UQCRFS1;DLD;NDUFA1;COX5B;NDUFB10;NDUFB8;ETFDH;UQCR10;NDUFA7;COX4I1;UQCRQ;POR;NDUFC1;SDHC;COX7C;NDUFA4;NDUFS4;CHCHD2;COX6B1;COX7A2;COX7B;NDUFS1;HCCS;COX6A1;SDHB;NDUFA11;SDHAF2;COX8A;SNCA;NDUFB4;NDUFS6;SDHA;COQ9;PUM2;NDUFA2,Negative,2.29136114084974
Acyl Coa Biosynthetic Process,GOBP_ACYL_COA_BIOSYNTHETIC_PROCESS,-0.664960919498928,-2.26841389983681,2.72397644370029e-7,1.76705360783002e-5,47,PGK1;ELOVL6;PDK1;ACLY;HSD17B12;DLAT;TPK1;TECR;FASN;ACSS2;PPT1;ACSL1;ACSL3;PDK3;PCCA;ELOVL5;ACSL4;ACACA;DLD;MCEE;MLYCD,Negative,2.26841389983681
Monosaccharide Catabolic Process,GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS,-0.670621736533585,-2.26758947086832,2.45081507952563e-7,1.61985004218458e-5,45,PGK1;LDHA;ENO2;TPI1;ENO1;GAPDH;MPI;NUDT5;PFKP;HK2;PGAM1;GALT;ALDOA;GALE;GALM;GLB1,Negative,2.26758947086832
Nucleoside Triphosphate Biosynthetic Process,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,-0.583249832058975,-2.26652379866563,7.717116641146021e-9,9.32174468756363e-7,88,AK4;ENO1;NME1;NDUFB9;MAP2K1;NDUFS3;LIPA;ALDOA;NDUFA9;NDUFB3;IMPDH2;NUDT2;NDUFS8;NDUFAB1;NDUFA12;NDUFS5;NDUFA8;NDUFA6;NME4;SDHD;NDUFC2;NDUFV2;NDUFB2;STOML2;NDUFA1;PRKAG2;SLC25A13;TBPL1;DTYMK;NDUFB10;NDUFB8;STAT3;NME3;NME7;NDUFA7;NDUFC1;SDHC;NME2;NDUFA13;VCP;NDUFS4;CMPK2,Negative,2.26652379866563
Organophosphate Biosynthetic Process,GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS,-0.480037996765274,-2.26421603341546,6.184547875300709e-25,2.16644712071784e-21,484,AK4;AK7;PGK1;IDH1;PNPLA3;FDPS;ELOVL6;QPRT;FADS1;AGPAT5;NR1H4;MOCOS;ACAT2;AK2;FABP3;MVK;PDK1;HEXB;GK5;GNPDA1;TPI1;ENO1;ACLY;HSD17B12;MVD;NME1;MPI;GMDS;MTM1;PAICS;APOA1;SLC19A3;DLAT;NDUFB9;LPIN1;MAP2K1;TPK1;ABHD5;TECR;PIK3C2A;APRT;GMPPB;HMGCS1;PCYT1A;PIK3C3;LPCAT3;RAB38;PAPSS2;NDUFS3;PCYT2;FASN;DGKG;ACSS2;PPT1;PTEN;IDI1;FABP5;PI4K2B;NANP;SPTLC2;ACSL1;LIPA;ACSL3;TKT;ALDOA;NDUFA9;DGUOK;SRD5A3;GK;GMPS;MOCS2;NDUFB3;PTPMT1;PDK3;IMPDH2;FITM2;PLD2;PGAP2;ACOT7;HMGCR;MTMR7;GFPT1;PCCA;LPGAT1;PNP;CMAS;PDXK;NUDT2;NDUFS8;GPAM;MTHFD1;FAR1;NDUFAB1;NDUFA12;ELOVL5;NDUFS5;ACSL4;PANK1;PIGU;AMPD3;PPIP5K2;OSBP;MTMR4;SGMS2;NUS1;NDUFA8;GPHN;NDUFA6;CPNE1;NME4;UPP1;DPM3;SDHD;ACACA;PIGA;NDUFC2;PMVK;NDUFV2;NDUFB2;IPMK;PIP5K1B;STOML2;IPPK;GGPS1;DLD;UXS1;MCEE;NDUFA1;PGM3;LIPH;DCTD;PRKAG2;SLC25A13;ATIC;PGS1;TBPL1;LHCGR;ABHD4;RRM1;MLYCD;PIK3C2B;SCP2;DTYMK;HPRT1;NDUFB10;SGMS1;SPTLC1;PIGP;NDUFB8;ABHD3;PMM2;DOLPP1;MFSD2A,Negative,2.26421603341546
