"Term","pathway","ES","NES","pval","padj","size","LeadingEdgeGenes"
"Amine Biosynthetic Process","GOBP_AMINE_BIOSYNTHETIC_PROCESS",-0.35849564520703,-1.10590085077769,0.300632911392405,0.537853467113174,26,"KL;PARK7;AMD1;NT5DC2;SRM;AGMAT;SAT1"
"Trna Methylation","GOBP_TRNA_METHYLATION",-0.344047736549607,-1.09363011437493,0.3003663003663,0.537853467113174,33,"TRMT61B;TYW3;METTL2B;METTL2A;FTSJ1;THUMPD2;HSD17B10"
"White Fat Cell Differentiation","GOBP_WHITE_FAT_CELL_DIFFERENTIATION",-0.415439844647803,-1.11892476277798,0.300578034682081,0.537853467113174,15,"PNPLA3;TBL1XR1"
"Negative Regulation of Gliogenesis","GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS",0.443422205492563,1.13757135100054,0.301634472511144,0.539369860748616,22,"HES1;DAAM2;TMEM98;LIN28A"
"Negative Regulation of Cartilage Development","GOBP_NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT",0.47079631726014,1.14351561368228,0.301801801801802,0.539393730465159,17,"TGFB2;ADAMTS12;LTBP3;SNAI2;RARG;SOX9"
"l Amino Acid Transport","GOBP_L_AMINO_ACID_TRANSPORT",-0.294658614681153,-1.0880685630014,0.302222222222222,0.539594518065466,67,"UCP2;SLC7A5;SFXN1;SLC15A4;SLC1A2;SLC38A5;EPM2A;SLC25A18;SLC7A6;SLC1A5;RAB3GAP1;SLC38A6;PSEN1"
"Regulation of Viral Genome Replication","GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION",-0.295169931702456,-1.08995667333956,0.302222222222222,0.539594518065466,67,"PPIA;APOBEC3G;SRPK2;VAPB;IFIH1;PPIE;PPID;APOBEC3C;STAU1"
"Negative Regulation of Dna Repair","GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR",0.418289465328473,1.12375258568816,0.303724928366762,0.541725266837458,28,"POLQ;PLK1;OGG1;MAD2L2;RMI2;HELB"
"Translational Elongation","GOBP_TRANSLATIONAL_ELONGATION",-0.302979970779624,-1.0840522659578,0.303571428571429,0.541725266837458,58,"CPEB2;MRPL44;EIF5A;HBS1L;GFM1;GFM2;EEF1A1;SEPSECS;EEF2K;LTN1;TSFM;SRP9;ABCE1;KLHDC10;VCP;RPLP2;EIF4E2;RNF14;METTL18;TUFM;UFSP2;SMYD5;RPLP1;EEFSEC;NPLOC4"
"Response to Molecule of Bacterial Origin","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",0.298003383448951,1.07401953186467,0.30457933972311,0.542848690122757,261,"WNT5A;NOS2;TNFSF4;CD24;NR4A1;FOS;AKAP12;FZD5;C1QTNF4;SMAD6;KCNJ8;DAB2IP;CITED1;HPGD;ARID5A;HMGB2;CXCL6;VCAM1;PLSCR3;FOXP1;HDAC5;ZFP36;SELE;VIM;IL10;ASS1;COL6A1;AXL;EDNRB;FOSL2;TRIM6;TNFAIP3;PTGER2;PAF1;MGST2;GSK3A;ACP5;SASH1;MAP2K7;FCGR2B;NR1I2;CASP7;HNRNPA0;F2R;IL18;ADAMTS13;FGFR2;NFKBIZ;CX3CR1;AKT1;LGALS9;BLVRA;SELP;CEBPB;RELA;JUND;NFKBIA"
