id,Unnamed: 1,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5
89839,ARHGAP11B,0.29,0.27,0.12,0.14,0.56,0.51,0.43,0.71,0.49,0.24
89845,ABCC10,21.5,19.57,13.79,14.77,14.96,22.93,17.59,27.61,16.18,18.0
89846,FGD3,1.0,23.45,2.89,6.37,8.79,3.76,3.96,13.27,4.93,6.15
89848,FCHSD1,18.65,12.46,11.21,14.49,18.18,22.9,17.26,24.61,20.64,25.6
89849,ATG16L2,6.04,20.0,6.88,6.02,6.31,11.56,11.29,15.63,5.39,6.65
8985,PLOD3,95.46,71.68,50.61,71.48,96.04,65.13,56.67,84.69,65.31,62.04
89853,FAM125B,8.28,8.4,4.66,6.82,8.37,7.97,8.15,13.54,11.07,11.31
89857,KLHL6,3.17,8.23,2.35,2.79,5.58,4.14,4.54,8.65,3.24,3.77
89858,SIGLEC12,0.11,0.64,0.04,0.0,0.05,0.34,0.56,1.06,0.24,0.0
8986,RPS6KA4,22.37,17.89,15.95,15.37,26.82,26.03,16.48,30.05,21.34,23.55
89866,SEC16B,1.49,1.39,1.98,1.21,1.75,1.58,2.53,2.29,1.52,1.32
8987,STBD1,2.6,2.22,3.59,1.74,3.12,1.65,1.08,3.18,2.63,3.33
89870,TRIM15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
89872,AQP10,0.0,0.0,0.08,0.2,0.03,0.26,0.12,0.2,0.0,0.0
89874,SLC25A21,0.25,0.21,0.0,0.2,0.13,0.45,0.02,0.43,0.11,0.32
89876,C3orf15,2.6,10.8,7.85,6.76,6.28,2.97,4.83,5.15,2.59,4.77
8988,HSPB3,13.02,12.75,16.86,10.77,13.93,14.14,7.41,13.53,15.46,14.31
89882,TPD52L3,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.07,0.0,0.08
89883,OR6W1P,0.38,0.27,0.19,0.33,0.43,0.38,0.62,0.29,0.27,0.16
89884,LHX4,0.54,1.63,0.6,0.63,0.81,1.33,1.31,1.63,0.79,1.72
89885,FATE1,0.0,0.0,0.04,0.17,0.0,0.0,0.06,0.1,0.0,0.0
89886,SLAMF9,0.07,0.0,0.0,0.0,0.33,0.0,0.37,0.29,0.19,0.0
89887,ZNF628,9.17,7.11,2.74,5.89,7.19,7.16,8.64,8.58,6.99,5.79
8989,TRPA1,0.0,0.16,0.08,0.0,0.03,0.0,0.06,0.4,0.19,0.0
89890,KBTBD6,5.97,7.67,4.41,6.32,6.09,6.35,7.34,6.93,5.32,5.33
89891,WDR34,16.68,12.75,9.93,8.2,13.17,12.29,8.75,16.3,16.49,23.49
89894,TMEM116,3.46,6.76,3.24,3.81,5.11,3.91,3.72,4.72,4.0,4.87
899,CCNF,2.72,3.96,2.08,3.03,2.38,3.01,3.38,3.53,4.35,5.65
8991,SELENBP1,4.55,7.62,2.82,3.2,3.65,2.03,4.67,7.39,4.73,4.79
89910,UBE3B,69.99,59.25,49.79,56.8,58.65,71.47,68.02,66.21,62.75,46.72
8992,ATP6V0E1,61.98,87.24,85.58,92.77,121.13,63.01,53.87,102.5,76.03,104.67
89927,C16orf45,15.64,18.47,9.69,15.37,11.93,18.16,12.45,15.55,11.94,17.6
8993,PGLYRP1,0.18,0.8,0.33,0.14,0.13,0.39,0.31,0.35,0.24,0.24
89932,PAPLN,7.02,7.94,6.88,5.36,9.82,11.97,11.86,12.0,7.1,4.09
8994,LIMD1,22.84,22.16,17.21,16.82,33.71,30.4,25.53,34.79,27.72,20.45
89941,RHOT2,34.63,24.6,22.87,19.07,18.4,29.62,20.23,24.83,18.07,33.19
89944,GLB1L2,12.97,4.3,4.37,6.42,12.51,5.83,6.74,8.09,6.44,9.94
8995,TNFSF18,0.14,0.0,0.0,0.09,0.07,0.0,0.0,0.1,0.15,0.2
89953,KLC4,11.73,14.7,9.62,11.13,15.2,11.94,9.43,18.56,13.18,18.64
89958,C9orf140,0.13,1.1,0.31,0.14,0.46,0.11,0.42,0.83,0.11,0.92
8996,NOL3,16.03,17.49,11.15,12.2,13.33,7.84,6.96,12.24,8.31,13.59
8997,KALRN,4.26,3.29,9.29,3.56,3.21,9.44,7.24,10.33,8.39,3.07
89970,RSPRY1,43.85,36.68,42.06,41.36,58.8,46.5,47.36,54.95,53.22,35.44
89978,ATPBD4,8.53,7.59,9.99,10.12,10.31,12.41,9.52,9.43,11.53,10.32
8999,CDKL2,1.2,1.1,1.69,1.29,1.19,1.73,1.85,1.16,1.34,2.49
9,NAT1,1.9,3.82,3.59,4.17,2.33,2.44,2.39,3.03,3.31,5.73
90,ACVR1,20.1,13.64,19.12,14.22,26.85,16.22,18.31,21.25,16.81,8.32
900,CCNG1,147.87,140.98,163.87,168.14,158.88,218.72,202.32,177.79,206.53,166.25
